conv_filters,lstm_units,dropout_rate,learning_rate,batch_size,mean_cv_accuracy,std_cv_accuracy
32,32,0.25,0.0001,64,0.960826325416565,0.006004893912813661
32,32,0.25,0.0001,128,0.9466811895370484,0.006558595645767184
32,32,0.25,0.0005,64,0.9747003555297852,0.004046476227198673
32,32,0.25,0.0005,128,0.9687152624130249,0.003526415169401224
32,32,0.35,0.0001,64,0.9585144996643067,0.0015554541066691856
32,32,0.35,0.0001,128,0.926685631275177,0.009347668588712367
32,32,0.35,0.0005,64,0.9722521066665649,0.00604334250947158
32,32,0.35,0.0005,128,0.9726595401763916,0.0051899273332796725
32,64,0.25,0.0001,64,0.9644997715950012,0.004085230106636614
32,64,0.25,0.0001,128,0.9600090742111206,0.007160718553026259
32,64,0.25,0.0005,64,0.9702100038528443,0.008687776419566225
32,64,0.25,0.0005,128,0.9742920994758606,0.0029038845283952505
32,64,0.35,0.0001,64,0.9610972166061401,0.005609977013738531
32,64,0.35,0.0001,128,0.9480409026145935,0.00492115673105426
32,64,0.35,0.0005,64,0.9734748482704163,0.005566298034498514
32,64,0.35,0.0005,128,0.9717074275016785,0.003771365184773201
64,32,0.25,0.0001,64,0.9674915075302124,0.005550728377018594
64,32,0.25,0.0001,128,0.9600098013877869,0.006947192664782597
64,32,0.25,0.0005,64,0.9782352685928345,0.00657155383551861
64,32,0.25,0.0005,128,0.9759233593940735,0.0052143970184356
64,32,0.35,0.0001,64,0.9623229026794433,0.004506217493493925
64,32,0.35,0.0001,128,0.9566097378730773,0.0048037403271954425
64,32,0.35,0.0005,64,0.9730670690536499,0.00538953397934646
64,32,0.35,0.0005,128,0.9668107628822327,0.007833882456221816
64,64,0.25,0.0001,64,0.9692592978477478,0.0035901187857853008
64,64,0.25,0.0001,128,0.9672186493873596,0.0044030525078678695
64,64,0.25,0.0005,64,0.9764696955680847,0.007769535216562177
64,64,0.25,0.0005,128,0.9757889747619629,0.0023787648070723003
64,64,0.35,0.0001,64,0.9647733688354492,0.006904537675756511
64,64,0.35,0.0001,128,0.9610997319221497,0.00421689920604272
64,64,0.35,0.0005,64,0.9778285980224609,0.0026773509741312347
64,64,0.35,0.0005,128,0.9786444425582885,0.0036438209898298716
